code,name,roc_year,quarter,gross_margin_pct
1240,茂生農經,115,2,15.21
1259,安心,115,2,23.21
1264,德麥,115,2,33.03
1268,漢來美食,115,2,47.85
1294,漢田生技,115,2,35.3
1295,生合,115,2,49.76
1336,台翰,115,2,14.66
1565,精華,115,2,18.86
1569,濱川,115,2,6.82
1570,力肯,115,2,22.11
1580,新麥,115,2,41.7
1584,精剛,115,2,15.21
1586,和勤,115,2,16.36
1591,駿吉-KY,115,2,38.07
1593,祺驊,115,2,30.17
1595,川寶,115,2,19.86
1599,宏佳騰,115,2,21.59
1742,台蠟,115,2,18.46
1777,生泰,115,2,41.25
1780,立弘,115,2,40.15
1781,合世,115,2,14.34
1784,訊聯,115,2,55.8
1785,光洋科,115,2,13.83
1788,杏昌,115,2,28.46
1796,金穎生技,115,2,21.83
1799,易威,115,2,47.82
1813,寶利徠,115,2,-7.39
1815,富喬,115,2,38.09
2035,唐榮公司,115,2,4.95
2061,風青,115,2,10.82
2063,世鎧精密,115,2,20.52
2064,晉椿,115,2,7.64
2065,世豐,115,2,17.84
2066,世德,115,2,34.9
2067,嘉鋼,115,2,2.77
2070,精湛,115,2,50.16
2073,雄順,115,2,6.31
2221,大甲,115,2,21.83
2230,泰茂,115,2,0.09
2235,謚源,115,2,14.84
2596,綠意,115,2,42.65
2640,大車隊,115,2,50.1
2641,正德,115,2,39.93
2643,捷迅,115,2,8.47
2718,全心投控,115,2,55.82
2719,燦星旅,115,2,14.62
2724,藝舍-KY,115,2,11.28
2726,雅茗-KY,115,2,63.2
2729,瓦城,115,2,50.26
2732,六角,115,2,50.23
2734,易飛網,115,2,14.84
2736,富野,115,2,48.43
2740,華軒,115,2,37.17
2743,山富,115,2,10.72
2745,五福,115,2,14.2
2751,王座,115,2,50.7
2752,豆府,115,2,52.37
2754,亞洲藏壽司,115,2,41.11
2755,揚秦,115,2,27.57
2756,聯發國際,115,2,51.14
2916,滿心,115,2,52.84
2924,宏太-KY,115,2,26.89
2926,誠品生活,115,2,38.17
2937,集雅社,115,2,21.02
2938,床的世界,115,2,69.22
2941,米斯特,115,2,63.94
2947,振宇五金,115,2,41.41
2948,寶陞,115,2,42.12
2949,欣新網,115,2,12.17
3064,泰偉,115,2,89.05
3066,李洲,115,2,34.97
3067,全域,115,2,32.25
3071,協禧,115,2,31.23
3073,天方能源,115,2,16.12
3078,僑威,115,2,19.14
3081,聯亞,115,2,56.31
3083,網龍,115,2,84.82
3085,新零售,115,2,64.28
3086,華義*,115,2,27.97
3088,艾訊,115,2,33.09
3093,港建*,115,2,27.32
3095,及成,115,2,21.84
3105,穩懋,115,2,27.35
3114,好德,115,2,10.48
3115,富榮綱,115,2,100.0
3118,進階,115,2,35.64
3122,笙泉,115,2,34.75
3128,昇銳,115,2,28.77
3131,弘塑,115,2,36.42
3141,晶宏,115,2,43.83
3147,大綜,115,2,11.96
3152,璟德,115,2,43.84
3158,嘉實,115,2,64.66
3162,精確,115,2,10.99
3163,波若威,115,2,17.12
3169,亞信,115,2,54.09
3171,炎洲流通,115,2,25.23
3176,基亞,115,2,56.94
3178,公準,115,2,17.36
3188,鑫龍騰,115,2,39.03
3191,雲嘉南,115,2,28.09
3205,佰研,115,2,6.7
3206,志豐,115,2,20.75
3207,耀勝,115,2,18.3
3211,順達,115,2,16.87
3213,茂訊,115,2,35.86
3217,優群,115,2,48.23
3218,大學光,115,2,57.55
3219,倚強科,115,2,69.18
3221,台嘉碩,115,2,24.02
3224,三顧,115,2,14.85
3226,龍鋒,115,2,4.94
3227,原相,115,2,58.8
3228,金麗科,115,2,59.89
3230,錦明,115,2,4.07
3232,昱捷,115,2,17.22
3234,光環,115,2,15.02
3236,千如,115,2,24.46
3252,海灣,115,2,41.79
3259,鑫創,115,2,12.37
3260,威剛,115,2,47.63
3264,欣銓,115,2,39.32
3265,台星科,115,2,27.53
3268,海德威,115,2,6.85
3272,東碩,115,2,5.72
3276,宇環,115,2,2.72
3284,太普高,115,2,22.16
