code,name,roc_year,quarter,gross_margin_pct
1101,台泥,115,2,18.22
1102,亞泥,115,2,13.56
1103,嘉泥,115,2,20.75
1104,環泥,115,2,27.15
1108,幸福,115,2,13.11
1109,信大,115,2,9.12
1110,東泥,115,2,15.96
1201,味全,115,2,26.62
1203,味王,115,2,34.28
1210,大成,115,2,13.71
1213,大飲,115,2,-1.78
1215,卜蜂,115,2,18.27
1216,統一,115,2,33.88
1217,愛之味,115,2,26.31
1218,泰山,115,2,15.76
1219,福壽,115,2,5.35
1220,台榮,115,2,8.74
1225,福懋油,115,2,6.72
1227,佳格,115,2,23.34
1229,聯華,115,2,21.32
1231,聯華食,115,2,20.1
1232,大統益,115,2,13.85
1233,天仁,115,2,60.54
1234,黑松,115,2,27.3
1235,興泰,115,2,29.18
1236,宏亞,115,2,23.93
1256,鮮活果汁-KY,115,2,32.12
1301,台塑,115,2,8.44
1303,南亞,115,2,15.76
1304,台聚,115,2,8.37
1305,華夏,115,2,8.58
1307,三芳,115,2,31.48
1308,亞聚,115,2,10.44
1309,台達化,115,2,2.52
1310,台苯,115,2,1.9
1312,國喬,115,2,-0.17
1313,聯成,115,2,6.52
1314,中石化,115,2,-1.12
1315,達新,115,2,13.04
1316,上曜,115,2,33.44
1319,東陽,115,2,32.52
1321,大洋,115,2,11.85
1323,永裕,115,2,19.88
1324,地球,115,2,18.77
1325,恆大,115,2,-23.69
1326,台化,115,2,7.02
1337,再生-KY,115,2,-14.1
1338,廣華-KY,115,2,23.45
1339,昭輝,115,2,25.19
1340,勝悅-KY,115,2,-141.43
1341,富林-KY,115,2,24.02
1342,八貫,115,2,25.68
1402,遠東新,115,2,20.8
1410,南染,115,2,34.79
1413,宏洲,115,2,3.82
1414,東和,115,2,11.78
1416,廣豐,115,2,39.9
1417,嘉裕,115,2,63.6
1418,東華,115,2,5.22
1419,新紡,115,2,25.88
1423,利華,115,2,17.23
1432,大魯閣,115,2,15.39
1434,福懋,115,2,11.06
1435,中福,115,2,64.13
1436,華友聯,115,2,59.37
1437,勤益控,115,2,65.17
1438,三地開發,115,2,39.51
1439,雋揚,115,2,28.14
1440,南紡,115,2,10.72
1441,大東,115,2,1.45
1442,名軒,115,2,49.89
1443,立益物流,115,2,47.28
1444,力麗,115,2,4.17
1445,大宇,115,2,13.5
