roc_year,month,code,name,revenue_this_month,revenue_last_month,revenue_last_year_same_month,mom_pct,yoy_pct,revenue_cum_this_year,revenue_cum_last_year,cum_pct
102,1,1780,立弘,32041,,43550,,-26.42,32041,43550,-26.42
102,1,4205,中華食,117405,,110621,,6.13,117405,110621,6.13
102,1,4207,環泰,364797,,267576,,36.33,364797,267576,36.33
102,1,4303,信立,42611,,37812,,12.69,42611,37812,12.69
102,1,4304,勝昱,62264,,47305,,31.62,62264,47305,31.62
102,1,4305,世坤,104254,,93518,,11.48,104254,93518,11.48
102,1,9950,萬國通,341215,,228141,,49.56,341215,228141,49.56
102,1,4401,東隆興,336079,,220844,,52.17,336079,220844,52.17
102,1,4402,郡都開發,62169,,79355,,-21.65,62169,79355,-21.65
102,1,4406,新昕纖,78927,,62682,,25.91,78927,62682,25.91
102,1,4413,飛寶企業,5031,,2585,,94.62,5031,2585,94.62
102,1,4417,金洲,179201,,130670,,37.14,179201,130670,37.14
102,1,4420,光明,39750,,47526,,-16.36,39750,47526,-16.36
102,1,4432,銘旺實,235677,,202367,,16.46,235677,202367,16.46
102,1,4433,興采,99924,,89865,,11.19,99924,89865,11.19
102,1,6506,雙邦,116011,,94492,,22.77,116011,94492,22.77
102,1,1570,力肯,36044,,33366,,8.02,36044,33366,8.02
102,1,1580,新麥,296841,,170753,,73.84,296841,170753,73.84
102,1,1586,和勤,102941,,68481,,50.32,102941,68481,50.32
102,1,1599,宏佳騰,51431,,124786,,-58.78,51431,124786,-58.78
102,1,2066,世德,68451,,74738,,-8.41,68451,74738,-8.41
102,1,2067,嘉鋼,83707,,76891,,8.86,83707,76891,8.86
102,1,2235,謚源,52328,,43971,,19.0,52328,43971,19.0
102,1,3162,精確,56223,,48121,,16.83,56223,48121,16.83
102,1,3226,龍鋒,50551,,22799,,121.72,50551,22799,121.72
102,1,3379,彬台,69620,,62587,,11.23,69620,62587,11.23
102,1,3685,元創精密,51219,,24967,,105.14,51219,24967,105.14
102,1,4502,健信,97721,,87127,,12.15,97721,87127,12.15
102,1,4503,金雨,10392,,4179,,148.67,10392,4179,148.67
102,1,4506,崇友,295016,,187079,,57.69,295016,187079,57.69
102,1,4510,高鋒,132388,,100463,,31.77,132388,100463,31.77
102,1,4513,福裕,159474,,197521,,-19.26,159474,197521,-19.26
102,1,4523,永彰,174078,,133482,,30.41,174078,133482,30.41
102,1,4527,方方土霖,126074,,101128,,24.66,126074,101128,24.66
102,1,4528,江興鍛,111879,,97118,,15.19,111879,97118,15.19
102,1,4533,協易機,257807,,208997,,23.35,257807,208997,23.35
102,1,4534,慶騰,89519,,55333,,61.78,89519,55333,61.78
102,1,4535,至興,318589,,292064,,9.08,318589,292064,9.08
102,1,4538,大詠城,26998,,37302,,-27.62,26998,37302,-27.62
102,1,5381,光譜,215791,,198543,,8.68,215791,198543,8.68
102,1,6122,擎邦,179841,,130988,,37.29,179841,130988,37.29
102,1,6125,廣運,471572,,555653,,-15.13,471572,555653,-15.13
102,1,6603,富強鑫,209640,,179175,,17.0,209640,179175,17.0
102,1,6609,瀧澤科,157845,,238799,,-33.9,157845,238799,-33.9
102,1,8083,瑞穎,76179,,66821,,14.0,76179,66821,14.0
102,1,8107,大億金茂,887314,,319540,,177.68,887314,319540,177.68
102,1,8255,朋程,281127,,247917,,13.39,281127,247917,13.39
102,1,9951,皇田,201785,,140389,,43.73,201785,140389,43.73
102,1,2061,風青,213407,,123454,,72.86,213407,123454,72.86
102,1,1742,台蠟,115679,,107283,,7.82,115679,107283,7.82
102,1,3430,奇鈦科,79317,,60247,,31.65,79317,60247,31.65
102,1,4706,大恭,150500,,107956,,39.4,150500,107956,39.4
102,1,4707,磐亞,1276097,,1137207,,12.21,1276097,1137207,12.21
102,1,4711,永純,155028,,80168,,93.37,155028,80168,93.37
102,1,4714,永捷,75698,,55692,,35.92,75698,55692,35.92
102,1,4716,大立,112813,,80870,,39.49,112813,80870,39.49
102,1,4721,美琪瑪,150829,,183659,,-17.87,150829,183659,-17.87
102,1,4741,泓瀚,38653,,30782,,25.57,38653,30782,25.57
102,1,4754,國碳科,10756,,10477,,2.66,10756,10477,2.66
102,1,6509,聚和,315080,,259730,,21.31,315080,259730,21.31
102,1,1565,精華,412438,,316595,,30.27,412438,316595,30.27
102,1,1777,生泰,37165,,25987,,43.01,37165,25987,43.01
102,1,1781,合世,132661,,56409,,135.17,132661,56409,135.17
102,1,1784,訊聯,65427,,63089,,3.7,65427,63089,3.7
102,1,1788,杏昌,233382,,201144,,16.02,233382,201144,16.02
102,1,1799,易威,9002,,6731,,33.73,9002,6731,33.73
102,1,1813,寶利徠,41570,,36160,,14.96,41570,36160,14.96
102,1,3118,進階,32481,,21228,,53.01,32481,21228,53.01
102,1,3176,基亞,4660,,8411,,-44.59,4660,8411,-44.59
102,1,3205,佰研,20217,,29517,,-31.5,20217,29517,-31.5
102,1,3218,大學光,63900,,84201,,-24.11,63900,84201,-24.11
102,1,4102,永日,26975,,33305,,-19.0,26975,33305,-19.0
102,1,4105,東洋,398647,,334510,,19.17,398647,334510,19.17
102,1,4107,邦特,71360,,69570,,2.57,71360,69570,2.57
102,1,4109,加捷生醫,53469,,26115,,104.74,53469,26115,104.74
102,1,4111,濟生,76693,,77067,,-0.48,76693,77067,-0.48
102,1,4114,健喬,120419,,83759,,43.76,120419,83759,43.76
