roc_year,month,code,name,revenue_this_month,revenue_last_month,revenue_last_year_same_month,mom_pct,yoy_pct,revenue_cum_this_year,revenue_cum_last_year,cum_pct
110,12,1101,台泥,10821264,9752687,10106165,10.95,7.07,107044614,105911461,1.06
110,12,1102,亞泥,9403723,8985672,8320877,4.65,13.01,89654713,78241985,14.58
110,12,1103,嘉泥,171518,197773,200989,-13.27,-14.66,2217656,2057081,7.8
110,12,1104,環泥,569625,592281,555150,-3.82,2.6,6079074,5426099,12.03
110,12,1108,幸福,319368,268037,388046,19.15,-17.69,3769145,4530172,-16.79
110,12,1109,信大,777783,781722,852626,-0.5,-8.77,7378229,7574940,-2.59
110,12,1110,東泥,184874,160698,160628,15.04,15.09,1840595,1590987,15.68
110,12,1201,味全,1614562,1636605,1472723,-1.34,9.63,19816447,18657684,6.21
110,12,1203,味王,507831,388602,519264,30.68,-2.2,5817509,6027250,-3.47
110,12,1210,大成,9224406,8855770,8214226,4.16,12.29,101597703,80528084,26.16
110,12,1213,大飲,31545,35048,31241,-9.99,0.97,428881,409605,4.7
110,12,1215,卜蜂,2438193,2255138,2057868,8.11,18.48,24841345,22189635,11.95
110,12,1216,統一,37291418,39352262,34159430,-5.23,9.16,473494402,447293289,5.85
110,12,1217,愛之味,314921,306835,280185,2.63,12.39,4711620,4616254,2.06
110,12,1218,泰山,816534,893101,694505,-8.57,17.57,9993637,8470574,17.98
110,12,1219,福壽,1383471,1403710,1185413,-1.44,16.7,14780000,12330108,19.86
110,12,1220,台榮,316808,332714,258665,-4.78,22.47,3219393,2775133,16.0
110,12,1225,福懋油,1251774,1322704,1006866,-5.36,24.32,13103957,10213493,28.3
110,12,1227,佳格,3562124,3684840,3872526,-3.33,-8.01,34307044,34466244,-0.46
110,12,1229,聯華,1166930,1133311,946645,2.96,23.27,11324111,9555022,18.51
110,12,1231,聯華食,1063115,748007,921214,42.12,15.4,9517892,8817321,7.94
110,12,1232,大統益,1782666,2105196,1845049,-15.32,-3.38,20477990,17440979,17.41
110,12,1233,天仁,192899,161242,171334,19.63,12.58,1790862,1924299,-6.93
110,12,1234,黑松,881319,784292,845690,12.37,4.21,9222874,9206290,0.18
110,12,1235,興泰,1227,1203,8603,1.99,-85.73,41090,78459,-47.62
