code,name,trading_value
00411A,主動統一前沿科技,196066121
006201,元大富櫃50,5291724
00679B,元大美債20年,416810170
00687B,國泰20年美債,267011361
00687C,國泰20年美債+櫃U,223500
00694B,富邦美債1-3,7641099
00695B,富邦美債7-10,5246162
00696B,富邦美債20年,23758566
00697B,元大美債7-10,8408084
00719B,元大美債1-3,52260286
00720B,元大投資級公司債,173978112
00722B,群益投資級電信債,167613341
00723B,群益投資級科技債,3103170
00724B,群益投資級金融債,146946055
00725B,國泰投資級公司債,66463079
00726B,國泰新興投等債,4734824
00727B,國泰優選非投等債,5011595
00734B,台新JPM新興債,1539154
00740B,富邦全球投等債,95056268
00741B,富邦全球非投等債,6624049
00746B,富邦A級公司債,10315575
00749B,凱基新興債10+,3065310
00750B,凱基科技債10+,3154190
00751B,元大AAA至A公司債,116986340
00754B,群益AAA-AA公司債,6817326
00755B,群益投資級公用債,3274507
00756B,群益投等新興公債,4069233
00758B,復華能源債,5095304
00759B,復華製藥債,5190314
00760B,復華新興企業債,5291104
00761B,國泰A級公司債,10667301
00764B,群益25年美債,304786485
00768B,復華20年美債,14607776
00772B,中信高評級公司債,54558309
00773B,中信優先金融債,23009915
00777B,凱基AAA至A公司債,3136066
00778B,凱基金融債20+,3309769
00779B,凱基美債25+,8351136
00780B,國泰A級金融債,5690951
00781B,國泰A級科技債,3888042
00782B,國泰A級公用債,9339974
00785B,富邦金融投等債,1695683
00786B,元大10年IG銀行債,660857
00787B,元大10年IG醫療債,101677
00788B,元大10年IG電能債,1519096
00789B,復華公司債A3,4586966
00791B,復華信用債1-5,5696350
00792B,群益A級公司債,3301927
00793B,群益AAA-A醫療債,3659010
00795B,中信美國公債20年,70257468
00799B,國泰A級醫療債,6031326
00834B,第一金金融債10+,3688693
00836B,永豐10年A公司債,2005951
00840B,凱基IG精選15+,2830479
00841B,凱基AAA-AA公司債,2694000
00842B,台新美元銀行債,4599963
00844B,台新15年IG金融債,2396537
00845B,富邦新興投等債,3886205
00846B,富邦歐洲銀行債,3702100
00847B,中信美國市政債,14640716
00848B,中信新興亞洲債,16434701
00849B,中信EM主權債0-5,19097040
00853B,統一美債10年Aa-A,26559333
00856B,永豐1-3年美公債,254304
00857B,永豐20年美公債,21156307
00858,永豐美國500大,10505156
00859B,群益0-1年美債,132278205
00860B,群益1-5Y投資級債,3773950
00862B,中信投資級公司債,18541618
00863B,中信全球電信債,15557219
00864B,中信美國公債0-1,54587616
00867B,台新A-BBB電信債,3992
00870B,元大15年EM主權債,157750
00877,復華中國5G,58107181
00884B,中信低碳新興債,13697193
00886,永豐美國科技,1455455
00887,永豐中國科技50大,50647289
00888,永豐台灣ESG,131456009
00890B,凱基ESG BBB債15+,3107056
00928,中信上櫃ESG 30,10711569
00931B,統一美債20年,16592512
00933B,國泰10Y+金融債,89499287
00937B,群益ESG投等債20+,604636852
00942B,台新美A公司債20+,23411759
00948B,中信優息投資級債,35880374
00950B,凱基A級公司債,35524803
00955,中信日本商社,98415077
00957B,兆豐US優選投等債,3626256
00958B,永豐ESG銀行債15+,6155084
00959B,大華投等美債15Y+,11623734
00966B,統一ESG投等債15+,12787057
00967B,元大優息美債,14615740
00968B,元大優息投等債,4793469
00969B,元大零息超長美債,6571766
00970B,台新BBB投等債20+,17657937
009806,台新標普500,58681
009807,台新標普科技精選,118046
00980B,台新特選IG債10+,20452497
00980D,主動聯博投等入息,8890230
00980T,平衡凱基美國TOP,1258722
009814,富邦標普500,4589071
009815,大華美國MAG7+,14349112
00981B,第一金優選非投債,106052290
00981D,主動中信非投等債,19084106
009822,華南永昌未來金融,7074316
009823,群益S&P500,16796021
009825,聯邦美國金融創新,212271
00982B,FT投資級債20+,12600
00983B,大華優利美公債20,23862772
00984B,大華優利美A債15,24705832
00985D,主動貝萊德優投等,11467298
00986B,FT金融債10+,0
00986D,主動復華金融債息,10568026
00987B,野村10+澳洲公債,10257053
00987D,主動統一美債量化,28568785
00988B,玉山嚴選非投債,32760902
00989B,台新美國非投等債,50575010
00990B,國泰收益非投等債,3390983
00998A,主動復華金融股息,83075030
020001,富邦存股雙十N,0
020025,統一亞洲半導體N,525270
020033,統一恒生科期N,51730
020035,元大上櫃ESG高息N,0
020040,元大上櫃ESG龍頭N,0
020041,兆豐半導體氣候N,58980
1240,茂生農經,423432
1259,安心,1163502
1264,德麥,9120639
1268,漢來美食,6430174
1294,漢田生技,989649
1295,生合,451672
1336,台翰,3293699
1565,精華,7590102
1569,濱川,45463570
1570,力肯,1012582
1580,新麥,9575711
1584,精剛,5659995
1586,和勤,3307482
1591,駿吉-KY,44075241
1593,祺驊,347950
1595,川寶,6259585
1599,宏佳騰,943910
1742,台蠟,857615
1777,生泰,7887781
1780,立弘,542811
1781,合世,61447
1784,訊聯,2197099
1785,光洋科,324102304
1788,杏昌,2324253
1796,金穎生技,90671
1799,易威,2101565
1813,寶利徠,317269
1815,富喬,6449787249
2035,唐榮,78
2061,風青,38699598
2063,世鎧,97215
2064,晉椿,12300
2065,世豐,636479
2066,世德,2242150
2067,嘉鋼,74809
2070,精湛,1733610
2073,雄順,55139
2221,大甲,493075362
2230,泰茂,655995
2235,謚源,255319
2596,綠意,12156120
2640,大車隊,2117013
2641,正德,19283252
2643,捷迅,189771
2718,全心投控,1132290
2719,燦星旅,135950
2724,藝舍-KY,20568
2726,雅茗-KY,81050
2729,瓦城,1339675
2732,六角,2672367
2734,易飛網,619072
2736,富野,331271
2740,華軒,195876
2743,山富,2618731
2745,五福,6848990
2751,王座,236024
2752,豆府,1304366
2754,亞洲藏壽司,2916985
2755,揚秦,1468060
2756,聯發國際,4935086
2916,滿心,2566757
2924,宏太-KY,17066
2926,誠品生活,60790
2937,集雅社,305243
2941,米斯特,122728
2947,振宇五金,662293
2948,寶陞,76461
2949,欣新網,761
3064,泰偉,0
3066,李洲,7151821
3067,全域,0
3071,協禧,1444473
3073,天方能源,527195
3078,僑威,15801495
3081,聯亞,7540026530
3083,網龍,1934831
3085,新零售,4804
3086,華義*,1251954
3088,艾訊,36039755
3093,港建*,5689288
3095,及成,31732
3105,穩懋,5940864195
3114,好德,4247463
3115,富榮綱,65060
3118,進階,455885
3122,笙泉,461426
3128,昇銳,3524389
3131,弘塑,541153095
3141,晶宏,200979324
3147,大綜,275561848
3152,璟德,11718699
3158,嘉實,9328677
3162,精確,81705479
3163,波若威,832605396
3169,亞信,7216245
3171,炎洲流通,2389892
3176,基亞,22366080
3178,公準,4052976
3188,鑫龍騰,1740727
3191,雲嘉南,176512
3205,佰研,425584
3206,志豐,1465701
3207,耀勝,3205671
3211,順達,864902925
3213,茂訊,19502766
3217,優群,32139824
3218,大學光,11047477
3219,倚強科,20237541
3221,台嘉碩,38776676
3224,三顧,1681014
3226,龍鋒,1670868
3227,原相,93421293
3228,金麗科,22464538
3230,錦明,15559896
3232,昱捷,332796
3234,光環,633199311
3236,千如,60074172
3252,海灣,91500
3259,鑫創,115330
3260,威剛,1829347829
3264,欣銓,1199637369
3265,台星科,118218479
3268,海德威,542509
3272,東碩,252012
3276,宇環,650505
3284,太普高,987508
3285,微端,4978
3287,廣寰科,2072260
3288,點晶,725229
3289,宜特,48435739
3290,東浦,11640276
3293,鈊象,561086510
3294,英濟,5252633
3297,杭特,11120968
3303,岱稜,10303799
3306,鼎天,3910734
3310,佳穎,760227
3313,斐成,294554
3317,尼克森,22625459
3322,建舜電,2978197
3323,加百裕,7457497
3324,雙鴻,1244155590
3325,旭品,480932
3332,幸康,187689
