code,name,trading_value,open_price,high_price,low_price,close_price
00411A,主動統一前沿科技,309775901,10.1,10.25,10.1,10.22
006201,元大富櫃50,7077534,46.49,46.49,45.9,46.12
00679B,元大美債20年,254587707,25.63,25.65,25.6,25.64
00687B,國泰20年美債,284680459,26.63,26.65,26.6,26.63
00687C,國泰20年美債+櫃U,269690,9.05,9.05,9.05,9.05
00694B,富邦美債1-3,19749386,41.49,41.6,41.49,41.56
00695B,富邦美債7-10,8029708,34.3,34.3,34.13,34.16
00696B,富邦美債20年,44986758,27.91,27.94,27.9,27.93
00697B,元大美債7-10,9589534,34.61,34.61,34.36,34.42
00719B,元大美債1-3,105702019,30.98,30.98,30.9,30.96
00720B,元大投資級公司債,71260979,31.95,31.96,31.9,31.94
00722B,群益投資級電信債,97231926,34.28,34.28,34.16,34.23
00723B,群益投資級科技債,5642260,29.4,29.4,29.36,29.39
00724B,群益投資級金融債,117174931,32.59,32.59,32.52,32.57
00725B,國泰投資級公司債,59743724,34.0,34.01,33.94,33.99
00726B,國泰新興投等債,4221307,31.84,31.86,31.82,31.84
00727B,國泰優選非投等債,7034571,39.14,39.17,39.1,39.13
00734B,台新JPM新興債,1747400,15.49,15.49,15.3,15.3
00740B,富邦全球投等債,58876196,37.15,37.17,37.1,37.14
00741B,富邦全球非投等債,4225868,36.93,36.94,36.88,36.91
00746B,富邦A級公司債,11586114,34.31,34.31,34.22,34.26
00749B,凱基新興債10+,4411520,30.59,30.69,30.57,30.65
00750B,凱基科技債10+,3173940,31.73,31.73,31.73,31.73
00751B,元大AAA至A公司債,96072395,30.01,30.01,29.93,29.99
00754B,群益AAA-AA公司債,4582920,31.47,31.47,31.38,31.39
00755B,群益投資級公用債,3225856,31.48,31.48,31.47,31.47
00756B,群益投等新興公債,3284470,30.05,30.05,29.99,30.04
00758B,復華能源債,5005000,50.05,50.05,50.05,50.05
00759B,復華製藥債,5265000,52.65,52.65,52.65,52.65
00760B,復華新興企業債,5225106,51.75,51.75,51.75,51.75
00761B,國泰A級公司債,4428448,33.02,33.02,32.94,32.97
00764B,群益25年美債,99048083,26.6,26.6,26.52,26.57
00768B,復華20年美債,20926871,47.79,47.79,47.67,47.76
00772B,中信高評級公司債,72335083,32.25,32.25,32.15,32.2
00773B,中信優先金融債,44860067,34.39,34.41,34.33,34.41
00777B,凱基AAA至A公司債,3142093,31.1,31.1,31.08,31.08
00778B,凱基金融債20+,3304000,33.04,33.04,33.04,33.04
00779B,凱基美債25+,8985799,26.81,26.82,26.79,26.82
00780B,國泰A級金融債,3801477,36.03,36.03,35.92,35.92
00781B,國泰A級科技債,4058310,26.66,26.66,26.6,26.61
00782B,國泰A級公用債,3994323,29.3,29.34,29.29,29.34
00785B,富邦金融投等債,1720143,33.68,33.68,33.67,33.67
00786B,元大10年IG銀行債,1208940,31.57,31.57,31.47,31.54
00787B,元大10年IG醫療債,409809,31.33,31.33,31.19,31.19
00788B,元大10年IG電能債,2064572,29.01,29.01,28.95,29.0
00789B,復華公司債A3,4616231,46.16,46.16,46.16,46.16
00791B,復華信用債1-5,5752900,56.45,56.45,56.4,56.4
00792B,群益A級公司債,3147800,30.19,30.25,30.19,30.21
00795B,中信美國公債20年,118049205,25.76,25.77,25.72,25.74
00799B,國泰A級醫療債,3103096,28.42,28.45,28.4,28.44
00834B,第一金金融債10+,3300032,33.0,33.0,33.0,33.0
00836B,永豐10年A公司債,418547,27.87,27.91,27.87,27.91
00840B,凱基IG精選15+,2864171,28.64,28.64,28.64,28.64
00841B,凱基AAA-AA公司債,2739000,27.39,27.39,27.39,27.39
00842B,台新美元銀行債,11454754,29.18,29.18,29.03,29.09
00844B,台新15年IG金融債,2464840,30.44,30.44,30.43,30.43
