code,name,trading_value,close_price
00400A,主動國泰動能高息,648289555,15.12
00401A,主動摩根台灣鑫收,67644156,13.99
00402A,主動安聯美國科技,220128706,9.95
00403A,主動統一升級50,8112615400,11.03
00404A,主動聯博動能50,202188067,10.18
00405A,主動富邦台灣龍耀,1208251999,9.64
00406A,主動中信台灣收益,388666292,10.29
0050,元大台灣50,8411642386,107.3
0051,元大中型100,17336791,147.7
0052,富邦科技,1577644053,62.8
0053,元大電子,6267321,244.95
0055,元大MSCI金融,62985629,43.46
0056,元大高股息,1772299362,52.8
0057,富邦摩台,12546863,317.2
0061,元大寶滬深,14635038,25.5
006203,元大MSCI台灣,3293506,194.0
006204,永豐臺灣加權,709394,231.8
006205,富邦上証,30929392,41.54
006206,元大上證50,3659802,37.38
006207,復華滬深,9417627,34.2
006208,富邦台50,1018182742,249.1
00625K,富邦上証+R,0,
00631L,元大台灣50正2,8480173989,38.33
00632R,元大台灣50反1,1444584367,10.03
00633L,富邦上証正2,92875247,53.35
00634R,富邦上証反1,502030,3.02
00635U,期元大S&P黃金,217758175,45.09
00636,國泰中國A50,11887220,29.05
00636K,國泰中國A50+U,1836,9.18
00637L,元大滬深300正2,339505059,22.07
00638R,元大滬深300反1,712690,6.47
00639,富邦深100,58797532,18.69
00640L,富邦日本正2,18056537,107.7
00641R,富邦日本反1,8440311,3.72
00642U,期元大S&P石油,158114027,24.11
00643,群益深証中小,69994005,20.42
00643K,群益深証中小+R,0,
00645,富邦日本,5108608,57.3
00646,元大S&P500,184410638,74.25
00647L,元大S&P500正2,9494798,133.35
00648R,元大S&P500反1,7536420,4.01
00650L,復華香港正2,163607874,15.06
00651R,復華香港反1,982210,5.56
00652,富邦印度,10257458,32.93
00653L,富邦印度正2,7183199,46.44
00654R,富邦印度反1,332144,6.74
00655L,國泰中國A50正2,47012299,37.22
00656R,國泰中國A50反1,395210,5.71
00657,國泰日經225,2279117,82.9
00657K,國泰日經225+U,5282,26.41
00660,元大歐洲50,1456132,45.51
00661,元大日經225,6512380,91.95
00662,富邦NASDAQ,1051304909,121.8
00663L,國泰臺灣加權正2,1110478673,111.9
00664R,國泰臺灣加權反1,43682516,1.62
00665L,富邦恒生國企正2,489081914,8.4
00666R,富邦恒生國企反1,971831,9.66
00668,國泰美國道瓊,7571256,59.65
00668K,國泰美國道瓊+U,3766,18.83
00669R,國泰美國道瓊反1,3274260,5.3
00670L,富邦NASDAQ正2,238699420,214.2
00671R,富邦NASDAQ反1,11665349,2.39
00673R,期元大S&P原油反1,433530696,14.99
00674R,期元大S&P黃金反1,6957608,28.42
00675L,富邦臺灣加權正2,671796191,338.45
00676R,富邦臺灣加權反1,38279397,5.53
00678,群益那斯達克生技,9501421,36.57
00680L,元大美債20正2,239652239,7.11
00681R,元大美債20反1,3185318,20.76
00682U,期元大美元指數,2156257,20.54
00683L,期元大美元指正2,2133759,21.63
00684R,期元大美元指反1,0,
00685L,群益臺灣加權正2,1483746354,306.75
00686R,群益臺灣加權反1,6647251,1.0
00688L,國泰20年美債正2,55467757,7.09
00689R,國泰20年美債反1,803968,21.64
00690,兆豐藍籌30,26908000,82.3
00692,富邦公司治理,179187541,92.8
00693U,期街口S&P黃豆,11510352,20.95
00700,富邦恒生國企,11795965,16.1
00701,國泰股利精選30,58416797,39.38
00702,國泰標普低波高息,2690687,24.24
00703,台新MSCI中國,3731644,18.65
00706L,期元大S&P日圓正2,30711336,18.85
00707R,期元大S&P日圓反1,161350,32.27
00708L,期元大S&P黃金正2,306124173,80.9
00709,富邦歐洲,858742,39.32
00710B,復華彭博非投等債,12828348,18.74
00711B,復華彭博新興債,3798543,16.08
00712,復華富時不動產,606372116,8.6
00713,元大台灣高息低波,653618557,61.7
00714,群益道瓊美國地產,4441175,21.44
00715L,期街口布蘭特正2,476032732,37.35
00717,富邦美國特別股,3023673,15.07
00728,第一金工業30,4986004,64.3
00730,富邦臺灣優質高息,6382124,28.97
00731,復華富時高息低波,52404720,91.55
00733,富邦臺灣中小,103299634,78.25
00735,國泰臺韓科技,382357256,118.4
00736,國泰新興市場,5370498,31.3
00737,國泰AI機器人,17644861,38.27
00738U,期元大道瓊白銀,237558174,55.6
00739,元大MSCI A股,2540177,29.55
00752,中信中國50,143086550,21.76
00753L,中信中國50正2,272098527,8.93
00757,統一FANG+,223486793,128.9
00762,元大全球AI,33532743,121.7
00763U,期街口道瓊銅,16582778,34.2
00770,國泰北美科技,23887556,68.0
00771,元大US高息特別股,1234393,15.79
00775B,台新投等債15+,4114,
00783,富邦中証500,5479186,30.69
00830,國泰費城半導體,693888523,97.0
00850,元大臺灣ESG永續,87544281,92.45
00851,台新全球AI,863874,73.3
00852L,國泰美國道瓊正2,13528569,33.96
00861,元大全球未來通訊,11503984,96.25
00865B,國泰US短期公債,126762453,48.03
00875,國泰網路資安,2469564,46.6
00876,元大全球5G,30576929,101.65
00878,國泰永續高股息,1259342934,33.67
00881,國泰台灣科技龍頭,486931710,55.4
00882,中信中國高股息,321323555,15.52
00885,富邦越南,84503384,18.71
00891,中信關鍵半導體,797051477,37.34
00892,富邦台灣半導體,84664624,45.84
00893,國泰智能電動車,18163601,46.62
00894,中信小資高價30,68998931,50.1
00895,富邦未來車,12993861,52.25
00896,中信綠能及電動車,136046892,27.97
00897,富邦基因免疫生技,21098964,10.1
00898,國泰基因免疫革命,11689764,8.46
00899,FT潔淨能源,4496618,26.13
00900,富邦特選高股息30,119410158,19.58
00901,永豐智能車供應鏈,4256278,47.5
00902,中信電池及儲能,21385221,15.76
00903,富邦元宇宙,2949561,21.47
00904,台新臺灣半導體30,74182944,43.46
00905,FT臺灣Smart,40216642,28.42
00907,永豐優息存股,34621164,16.66
00908,富邦入息REITs+,4757947,14.82
00909,國泰數位支付服務,49291025,51.15
00910,第一金太空衛星,192864659,67.25
00911,兆豐洲際半導體,46154246,65.05
00912,中信臺灣智慧50,12854165,34.74
00913,兆豐台灣晶圓製造,155262285,53.9
00915,凱基優選高股息30,234524650,32.28
00916,國泰全球品牌50,95865566,25.56
00917,中信特選金融,12137861,22.61
00918,大華優利高填息30,2893040303,32.0
00919,群益台灣精選高息,5328993821,30.81
00920,富邦ESG綠色電力,10231295,26.32
00921,兆豐龍頭等權重,4955118,23.32
00922,國泰台灣領袖50,371543796,41.22
00923,群益台ESG低碳50,204445253,43.18
00924,復華S&P500成長,66021453,32.3
00926,凱基全球菁英55,8121286,24.81
00927,群益半導體收益,617098422,41.25
00929,復華台灣科技優息,1008088671,31.1
00930,永豐ESG低碳高息,28651302,25.51
00932,兆豐永續高息等權,17895167,17.68
00934,中信成長高股息,89826136,28.72
00935,野村臺灣新科技50,729567984,62.25
00936,台新永續高息中小,24762791,20.6
00938,凱基優選30,84199210,25.06
00939,統一台灣高息動能,141414038,21.95
00940,元大台灣價值高息,319613588,12.7
00941,中信上游半導體,48423634,28.6
00943,兆豐電子高息等權,18471875,22.81
00944,野村趨勢動能高息,19984516,22.17
00945B,凱基美國非投等債,69600313,14.43
00946,群益科技高息成長,71082406,15.4
00947,台新臺灣IC設計,332068523,41.3
00949,復華日本龍頭,43083926,20.78
00951,台新日本半導體,89578371,20.46
00952,凱基台灣AI50,40266657,18.6
00953B,群益優選非投等債,194094665,9.61
00954,中信日本半導體,143311230,21.84
00956,中信日經高股息,3837281,12.36
00960,野村全球航運龍頭,8063904,17.39
00961,FT臺灣永續高息,72108284,12.91
00962,台新AI優息動能,12793703,15.0
00963,中信全球高股息,25100631,12.5
00964,中信亞太高股息,26981263,14.53
00965,元大航太防衛科技,72357628,25.74
00971,野村美國研發龍頭,7215599,16.67
00972,野村日本動能高息,3874347,19.4
009800,中信NASDAQ,30622414,13.18
009801,中信美國創新科技,7468034,12.42
009802,富邦旗艦50,108598114,19.89
009803,玉山市值動能50,69150361,21.97
009804,聯邦台精彩50,27483213,24.37
009805,台新美國電力基建,137019364,16.67
009808,華南永昌優選50,24677066,32.0
009809,富邦淨零ESG50,17403435,17.67
00980A,主動野村臺灣優選,227398397,25.05
009810,玉山全球藍籌100,1752359,20.41
009811,統一美國50,34918719,12.82
009812,野村日本東證,11324106,12.52
009813,貝萊德標普卓越50,24663669,11.02
009816,凱基台灣TOP50,2152524479,15.68
009817,國泰日本不動產,15460575,8.65
009818,華南永昌NASDAQxT,6372243,19.76
009819,中信數據及電力,157092516,10.49
00981A,主動統一台股增長,7653496071,31.5
00981T,平衡凱基雙核收息,64887512,12.22
009820,元大納斯達克精選,146627172,10.12
009821,野村稀土關鍵資源,641857397,15.56
00982A,主動群益台灣強棒,1060162732,24.83
00982D,主動富邦動態入息,3601468,9.97
00982T,平衡兆豐台美動能,3913898,15.82
00983A,主動中信ARK創新,39168101,11.92
00983D,主動富邦複合收益,3748605,10.12
00984A,主動安聯台灣高息,130089381,16.93
00984D,主動聯博全球非投,217871125,10.11
00985A,主動野村台灣50,81252148,22.47
00985B,群益ESG投等債0-5,63814702,10.18
00986A,主動台新龍頭成長,2755020,15.35
00987A,主動台新優勢成長,93892070,17.83
00988A,主動統一全球創新,1719529164,22.96
00989A,主動摩根美國科技,34753498,18.01
00990A,主動元大AI新經濟,905021268,20.97
00991A,主動復華未來50,2012700800,20.68
00992A,主動群益科技創新,1430388760,18.98
00993A,主動安聯台灣,195689076,14.29
00994A,主動第一金台股優,156186420,18.07
00995A,主動中信台灣卓越,115209152,18.41
00996A,主動兆豐台灣豐收,234199791,16.06
00997A,主動群益美國增長,226451336,14.43
00999A,主動野村臺灣高息,336202738,11.31
01001T,土銀富邦R1,186090,11.63
01002T,土銀國泰R1,1735880,14.0
01004T,土銀富邦R2,730998,10.44
01007T,兆豐國泰R2,1828740,12.61
01009T,王道圓滿R1,670280,5.72
01010T,京城樂富R1,678930,10.0
020000,富邦特選蘋果N,419800,35.06
020011,統一微波高息20N,0,
020012,富邦行動通訊N,621500,24.86
02001L,富邦蘋果正二N,29761050,186.15
020020,元大台股領航N,1419300,28.8
020028,元大特選電動車N,1655000,20.65
020029,元大ESG高股息N,55500,18.5
020030,統一智慧電動車N,114500,19.1
020031,統一IC設計臺灣N,122000,11.12
020032,元大綠能N,0,
020034,元大IC設計N,1302920,15.24
020036,元大金融配息N,80810,10.09
020037,元大金融高股息N,22500,11.25
020038,元大ESG配息N,316000,14.38
020039,元大加權N,220840,14.73
1101,台泥,816015464,24.5
1101B,台泥乙特,433244,45.25
1102,亞泥,702721943,35.8
1103,嘉泥,3199549,13.8
1104,環泥,46790230,29.1
1108,幸福,2064792,13.9
1109,信大,3773863,14.65
1110,東泥,4143766,15.55
1201,味全,6120210,12.55
1203,味王,204762,43.0
1210,大成,186580630,54.7
1213,大飲,102253,8.33
1215,卜蜂,238598146,115.0
1216,統一,2115382775,74.5
1217,愛之味,5308279,9.88
1218,泰山,21347415,17.9
1219,福壽,3377014,12.6
1220,台榮,917919,11.7
1225,福懋油,8802371,32.25
1227,佳格,66967292,29.1
1229,聯華,173086041,41.9
1231,聯華食,19255848,87.4
1232,大統益,31856811,143.0
1233,天仁,793733,28.0
1234,黑松,4143017,34.85
1235,興泰,779877,37.65
1236,宏亞,3675141,25.8
1256,鮮活果汁-KY,21450323,181.5
1301,台塑,9689626723,51.7
1303,南亞,18641717663,139.0
1304,台聚,127777928,13.55
1305,華夏,62582236,13.25
1307,三芳,32157441,36.4
1308,亞聚,49080815,13.95
1309,台達化,62636130,14.75
1310,台苯,118487423,9.26
1312,國喬,155872123,13.5
1312A,國喬特,304900,21.75
1313,聯成,63295707,11.6
1314,中石化,185387568,7.78
1315,達新,7992820,62.3
1316,上曜,28232284,10.95
1319,東陽,1005207359,99.2
1321,大洋,14488065,32.15
1323,永裕,2028633,19.8
1324,地球,2214492,10.4
1325,恆大,6397620,26.1
1326,台化,1699240459,54.2
1337,再生-KY,4134794,5.07
1338,廣華-KY,1490980,17.2
1339,昭輝,10881106,43.95
1340,勝悅-KY,1143150,5.72
1341,富林-KY,1302554,62.0
1342,八貫,145502109,116.0
1402,遠東新,1116719760,28.85
1409,新纖,1040614097,25.6
1410,南染,889719,24.85
1413,宏洲,309220,9.44
1414,東和,1743708,17.5
