code,name,trading_value
00400A,主動國泰動能高息,420203228
00401A,主動摩根台灣鑫收,85435332
00402A,主動安聯美國科技,57887412
00403A,主動統一升級50,2507428260
00404A,主動聯博動能50,17091166
00405A,主動富邦台灣龍耀,592828809
00406A,主動中信台灣收益,1892794889
00407A,主動凱基台灣,397503094
00408A,主動第一金優股息,16347394
00410A,主動永豐科技趨勢,90015546
0050,元大台灣50,9385535872
0051,元大中型100,7337630
0052,富邦科技,749008592
0053,元大電子,8168432
0055,元大MSCI金融,18555545
0056,元大高股息,1652774768
0057,富邦摩台,4750034
0061,元大寶滬深,3326059
006203,元大MSCI台灣,2305975
006204,永豐臺灣加權,23985353
006205,富邦上証,8286393
006206,元大上證50,2385061
006207,復華滬深,4571701
006208,富邦台50,468554591
00625K,富邦上証+R,0
00631L,元大台灣50正2,6242501430
00632R,元大台灣50反1,1939565844
00633L,富邦上証正2,77600765
00634R,富邦上証反1,118631
00635U,期元大S&P黃金,256402183
00636,國泰中國A50,6470807
00636K,國泰中國A50+U,1752
00637L,元大滬深300正2,420319702
00638R,元大滬深300反1,356190
00639,富邦深100,10466774
00640L,富邦日本正2,4266062
00641R,富邦日本反1,5227585
00642U,期元大S&P石油,129929845
00643,群益深証中小,45361441
00643K,群益深証中小+R,38850
00645,富邦日本,3961236
00646,元大S&P500,234766612
00647L,元大S&P500正2,2367529
00648R,元大S&P500反1,3363775
00650L,復華香港正2,19993983
00651R,復華香港反1,1900300
00652,富邦印度,3668284
00653L,富邦印度正2,6498091
00654R,富邦印度反1,313572
00655L,國泰中國A50正2,26987609
00656R,國泰中國A50反1,13223577
00657,國泰日經225,10582507
00657K,國泰日經225+U,4902
00660,元大歐洲50,842450
00661,元大日經225,8259649
00662,富邦NASDAQ,421647785
00663L,國泰臺灣加權正2,651722553
00664R,國泰臺灣加權反1,50553659
00665L,富邦恒生國企正2,99624997
00666R,富邦恒生國企反1,476462
00668,國泰美國道瓊,627012
00668K,國泰美國道瓊+U,3920
00669R,國泰美國道瓊反1,1856538
00670L,富邦NASDAQ正2,100621628
00671R,富邦NASDAQ反1,9172363
00673R,期元大S&P原油反1,395163268
00674R,期元大S&P黃金反1,5238826
00675L,富邦臺灣加權正2,352660537
00676R,富邦臺灣加權反1,48941646
00678,群益那斯達克生技,23803069
00680L,元大美債20正2,61430045
00681R,元大美債20反1,12948662
00682U,期元大美元指數,0
00683L,期元大美元指正2,42612
00684R,期元大美元指反1,0
00685L,群益臺灣加權正2,2636079471
00686R,群益臺灣加權反1,11143221
00688L,國泰20年美債正2,39184910
00689R,國泰20年美債反1,2593883
00690,兆豐藍籌30,12431137
00692,富邦公司治理,79529353
00693U,期街口S&P黃豆,21417664
00700,富邦恒生國企,1421737
00701,國泰股利精選30,20806118
00702,國泰標普低波高息,2656819
00703,台新MSCI中國,980117
00706L,期元大S&P日圓正2,4823418
00707R,期元大S&P日圓反1,0
00708L,期元大S&P黃金正2,448880117
00709,富邦歐洲,585832
00710B,復華彭博非投等債,3356268
00711B,復華彭博新興債,2115880
00712,復華富時不動產,183244129
00713,元大台灣高息低波,356753101
00714,群益道瓊美國地產,2295745
00715L,期街口布蘭特正2,505281825
00717,富邦美國特別股,616629
00728,第一金工業30,17012479
00730,富邦臺灣優質高息,3960842
00731,復華富時高息低波,61428719
00733,富邦臺灣中小,18052958
00735,國泰臺韓科技,188746531
00736,國泰新興市場,3704365
00737,國泰AI機器人,3415185
00738U,期元大道瓊白銀,205048003
00739,元大MSCI A股,1301700
00752,中信中國50,14024518
00753L,中信中國50正2,69351499
00757,統一FANG+,77704883
00762,元大全球AI,21319879
00763U,期街口道瓊銅,35983261
00770,國泰北美科技,11812638
00771,元大US高息特別股,273875
00775B,台新投等債15+,5661485
00783,富邦中証500,4009289
00830,國泰費城半導體,712797847
00850,元大臺灣ESG永續,82041578
00851,台新全球AI,3090058
00852L,國泰美國道瓊正2,4247559
00861,元大全球未來通訊,3847057
00865B,國泰US短期公債,76945561
00875,國泰網路資安,25431827
00876,元大全球5G,12399183
00878,國泰永續高股息,874520640
00881,國泰台灣科技龍頭,966864656
00882,中信中國高股息,37897531
00885,富邦越南,31510099
00891,中信關鍵半導體,394928676
00892,富邦台灣半導體,106002374
00893,國泰智能電動車,28821714
00894,中信小資高價30,51641603
00895,富邦未來車,12856218
