code,name,trading_value,open_price,high_price,low_price,close_price
00400A,主動國泰動能高息,373796122,14.48,14.7,14.46,14.52
00401A,主動摩根台灣鑫收,70534926,13.77,13.94,13.77,13.86
00402A,主動安聯美國科技,19470533,9.43,9.44,9.4,9.41
00403A,主動統一升級50,825182271,10.0,10.11,9.98,10.02
00404A,主動聯博動能50,79221962,9.39,9.49,9.37,9.46
00405A,主動富邦台灣龍耀,224646304,8.35,8.53,8.35,8.46
00406A,主動中信台灣收益,1878584770,9.33,9.44,9.29,9.34
00407A,主動凱基台灣,121795196,9.3,9.47,9.3,9.36
00408A,主動第一金優股息,7410502,10.15,10.21,10.1,10.16
00409A,主動復華全球50,121287560,9.5,9.5,9.43,9.46
00410A,主動永豐科技趨勢,52269798,11.51,11.78,11.5,11.69
0050,元大台灣50,7726371006,106.15,107.4,106.15,106.9
0051,元大中型100,5874248,142.55,143.2,142.0,142.85
0052,富邦科技,759828109,61.6,62.3,61.55,61.95
0053,元大電子,17467906,237.35,239.95,237.35,239.5
0055,元大MSCI金融,29352786,49.76,50.5,49.7,50.3
0056,元大高股息,966585483,55.0,55.65,55.0,55.55
0057,富邦摩台,8331527,317.05,320.8,317.05,319.7
0061,元大寶滬深,2517648,23.88,23.88,23.61,23.8
006203,元大MSCI台灣,605908,194.65,194.65,194.65,194.65
006204,永豐臺灣加權,5753934,229.6,230.35,228.25,228.8
006205,富邦上証,6650960,39.91,40.01,39.61,39.75
006206,元大上證50,510088,37.24,37.49,37.11,37.21
006207,復華滬深,3541843,31.66,31.76,31.5,31.7
006208,富邦台50,512679307,243.5,246.2,243.25,244.6
00625K,富邦上証+R,83300,8.33,8.33,8.33,8.33
00631L,元大台灣50正2,3525974099,35.25,35.84,35.18,35.56
00632R,元大台灣50反1,850246324,10.01,10.02,9.9,9.95
00633L,富邦上証正2,213991850,46.38,46.85,45.71,46.37
00634R,富邦上証反1,511146,3.18,3.21,3.17,3.19
00635U,期元大S&P黃金,78639593,44.26,44.84,44.21,44.69
00636,國泰中國A50,27288885,27.03,27.15,26.87,27.07
00636K,國泰中國A50+U,1706,8.53,8.53,8.53,8.53
00637L,元大滬深300正2,636007599,19.21,19.34,18.91,19.17
00638R,元大滬深300反1,820165,6.81,6.86,6.77,6.77
00639,富邦深100,13570262,15.88,15.94,15.65,15.79
00640L,富邦日本正2,3774123,105.8,105.95,105.1,105.4
00641R,富邦日本反1,3051692,3.71,3.72,3.7,3.72
00642U,期元大S&P石油,59037469,34.4,34.48,34.1,34.24
00643,群益深証中小,61019391,17.81,18.0,17.68,17.79
00643K,群益深証中小+R,37500,3.73,3.77,3.73,3.77
00645,富邦日本,6906099,57.4,57.45,57.3,57.4
00646,元大S&P500,198634429,76.2,76.4,76.05,76.1
00647L,元大S&P500正2,5141816,135.5,135.5,134.85,134.9
00648R,元大S&P500反1,2633580,3.96,3.97,3.95,3.96
00650L,復華香港正2,19294308,16.27,16.36,16.07,16.12
00651R,復華香港反1,961264,5.3,5.34,5.29,5.3
00652,富邦印度,10278317,31.85,31.88,31.7,31.83
00653L,富邦印度正2,8056205,42.73,43.04,42.67,43.03
00654R,富邦印度反1,1462857,7.0,7.01,6.97,6.97
00655L,國泰中國A50正2,37189048,32.23,32.55,31.76,32.19
00656R,國泰中國A50反1,96601,6.04,6.04,5.96,5.96
00657,國泰日經225,12115926,75.15,75.65,74.95,75.35
00657K,國泰日經225+U,4746,23.73,23.73,23.73,23.73
00660,元大歐洲50,211813,45.88,45.88,45.71,45.73
00661,元大日經225,16221604,82.1,82.75,81.9,82.5
00662,富邦NASDAQ,465096074,118.65,118.8,118.35,118.4
00663L,國泰臺灣加權正2,457892334,101.6,103.4,101.4,102.55
00664R,國泰臺灣加權反1,19360387,1.62,1.62,1.6,1.61
00665L,富邦恒生國企正2,53736557,8.98,8.99,8.82,8.87
00666R,富邦恒生國企反1,1443320,9.31,9.33,9.29,9.29
00668,國泰美國道瓊,16936445,60.85,60.85,60.7,60.75
00668K,國泰美國道瓊+U,3816,19.08,19.08,19.08,19.08
00669R,國泰美國道瓊反1,1446027,5.3,5.31,5.29,5.29
00670L,富邦NASDAQ正2,58847472,192.3,193.0,191.55,192.7
00671R,富邦NASDAQ反1,6136077,2.47,2.48,2.46,2.47
00673R,期元大S&P原油反1,487596543,9.9,9.96,9.87,9.95
00674R,期元大S&P黃金反1,2326326,28.54,28.54,28.18,28.28
00675L,富邦臺灣加權正2,180126516,308.0,313.7,307.25,310.85
00676R,富邦臺灣加權反1,31460626,5.54,5.54,5.47,5.5
